prolific id,object,typicality,colour
53c3b85bfdf99b5098c22fe7,Ananas,0,blau
54229310fdf99b7732b92a9a,Ananas,0,blau
556958d1fdf99b7af5d5b21a,Ananas,0,blau
556b20befdf99b376b5eda91,Ananas,0,blau
556db04dfdf99b26054b1768,Ananas,1,blau
556db1d1fdf99b26054b1774,Ananas,0,blau
55ae3776fdf99b364e5699f1,Ananas,0,blau
55c62a07fdf99b43b969fe89,Ananas,0,blau
56310c53597d1f0005f63c73,Ananas,0,blau
564f52ab9b124900107eb516,Ananas,0,blau
565248ccfea9c60012c5cc62,Ananas,0,blau
565f62d36f9757000a7cb9ba,Ananas,0,blau
56adcc095ea7aa000bbdfb86,Ananas,0,blau
56c549b2f7cc2f00067e126b,Ananas,0,blau
56cb572b73cd5b0006f79acd,Ananas,0,blau
56cef682b009e1000ca736a9,Ananas,0,blau
56d880124a9be1000553fbd6,Ananas,0,blau
56d8ed30d13f6b000c542ce7,Ananas,0,blau
56ec142b388e1d000c58d226,Ananas,0,blau
56edc8ca8ff0c5000d2aa9b6,Ananas,0,blau
5730eee0dd6617000ed94533,Ananas,0,blau
5736534414f69e001076759a,Ananas,0,blau
574b73a65e5491000e3c5470,Ananas,0,blau
574ebdffb40eae00119f4995,Ananas,0,blau
575870fc768081000631a2ce,Ananas,0,blau
575ea5112326af0007e5243b,Ananas,0,blau
577ba2edd8e8880001b31239,Ananas,6,blau
5783d1bbc9abeb0001af18da,Ananas,0,blau
57900573dcff7d0001c7bb68,Ananas,0,blau
57b1e8fdf4543d00016e1f7c,Ananas,0,blau
57dffbe3dcda780001a0e34f,Ananas,0,blau
57e0f94c89fea700017297e7,Ananas,0,blau
580bac6608adab00011f594a,Ananas,0,blau
58110cfec7679900017ed0fc,Ananas,0,blau
582630568061bd0001327245,Ananas,0,blau
5837f24d06536a0001c24e7a,Ananas,0,blau
585bc9fc0eace7000143a341,Ananas,7,blau
588856d049bc00000188786d,Ananas,0,blau
588fb41b15fdbf00012f2b6a,Ananas,0,blau
589b8ade9b4be40001fdc60b,Ananas,0,blau
58ac7deaef58a9000119d2e7,Ananas,0,blau
58add914ef58a9000119d98c,Ananas,0,blau
58bd8e262e4dc0000164b084,Ananas,0,blau
58c14f4bffafa30001cfc733,Ananas,0,blau
58c6531293dac30001d49cc4,Ananas,0,blau
58d2cccbad1e550001c5d2c5,Ananas,0,blau
58e3d4be6c33030001ac64ad,Ananas,0,blau
58f5dd2b40baf30001229be9,Ananas,0,blau
