StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q5_2,Q5_3,Q5_4,Q6,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Your team name (i.e., the fantasy animal)",The team name (fantasy animal) for the analysis you are reviewing.,"Please rate the following aspects of the study under review with regard to how well they answer the research question (""Do speakers acoustically modify utterances to signal atypical word combinations in referring expressions?"") with the available data. - Rate the phonetic analysis","Please rate the following aspects of the study under review with regard to how well they answer the research question (""Do speakers acoustically modify utterances to signal atypical word combinations in referring expressions?"") with the available data. - Rate the statistical analysis","Please rate the following aspects of the study under review with regard to how well they answer the research question (""Do speakers acoustically modify utterances to signal atypical word combinations in referring expressions?"") with the available data. - Provide an overall rating",Would the analytical methods presented produce an analysis that is:,Please explain your ratings of this analysis.,Please evaluate the choice of statistical analysis type.,Please evaluate the process of choosing variables for and structuring the statistical model.,Please evaluate the suitability of the variables included in (or excluded from) the statistical model.,Please evaluate the suitability of the structure of the statistical model.,Please evaluate choices to exclude or not exclude subsets of the data.,"Please evaluate any choices to transform data (or, if there were no transformations, but you think there should have been, please discuss that choice).",Please use this space for any additional comment you may have at this stage.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}"
2022-04-29 15:08:51,2022-04-29 15:25:45,IP Address,153.104.35.64,100,1013,True,2022-04-29 15:25:46,R_1NsJgK4gcS9kRAJ,,,,,40.0428,-75.3506,anonymous,EN,polymetme_brevirostrum,eriphia_laterispinis,90,100,98,publishable as is.,"My ratings were based on replicability, motivation of the study from previous research, appropriateness of the analysis given the data and hypotheses, and interpretation of results.",The analysis type was appropriate for the data,"Variable selection was appropriate and well motivated. Model specification was nearly flawless; my only question is why such long chains were used when sampling the posterior. If not warranted by the data, doing so uses more time and resources to arrive to the same conclusion.","Use of the average values across the sentence, while easier than isolating average values within regions of interest, may not index the intended phenomenon. Several out-of-the-box tools currently exist to automate the process of alignment, so this could have easily been done. ",The model structure is gorgeous. The fitting procedure is excellent. The assessment of fit is spot-on. Every piece of the analysis is accountable and replicable (up to random noise that could have been avoided by setting the random seed).,"The others did not exclude errored trials, which may have biased their findings. ",The choice not to transform data was justified.,The statistics are beautifully done; this could be a gold standard for peer review.
2022-04-29 15:26:29,2022-04-30 09:02:51,IP Address,209.93.143.84,100,63381,True,2022-04-30 09:02:52,R_2VxO57A52A5PIPz,,,,,52.5297,-1.8543,anonymous,EN,psittacula_scabriculus,nestor_idahoensis,70,80,75,publishable with minor revision.,"The analysis conducted was very detailed and thorough, I had a few recommendations but I would include this as a publishable code that should be shared with students. ","The choice of statistical analysis was conducted well and was explained clearly, concisely and thoroughly. ","The variables were driven by the literature, as opposed to including them as controls to purify the variable, allowing type I error to be reduced (Shears & Zumbo, 2013; Spector & Brannick, 2011;  Westfall & Yarkoni, 2016). However, in the future, it is recommended that the variables are centred and scaled.  The structure of statistical model was very clear, concise and provided enough researcher to reproduce the analysis.","The variables were driven by the literature, as opposed to including them as controls to purify the variable, allowing type I error to be reduced (Shears & Zumbo, 2013; Spector & Brannick, 2011;  Westfall & Yarkoni, 2016). However, in the future, it is recommended that the variables are centred and scaled. ","The structure of statistical model was very clear, concise and provided enough researcher to reproduce the analysis.","Although they excluded Force-aligned phone intervals shorter than 50 ms, it would be nice to explain why this was done. Much outlier exclusion or data removal is arbitrary, potentially leading to type I error.  However, if there was an explanation provided as to why this choice was conducted, it would allow the thinking to be more reproducible. ","The choice to use raw data was adequate. However, there is a need to include statistical assumptions to check if the correct technique used. Bayesian is an approach that can apply to any statistical technique, but it is unclear if each assumption has been fulfilled.  If the residuals were not normally distributed, there is a need for transformation (e.g. log, inverse) to ensure the normal distribution was normally distributed.",
2022-05-02 02:59:32,2022-05-02 03:23:00,IP Address,77.140.136.4,100,1408,True,2022-05-02 03:23:01,R_3soe745I7v042Gm,,,,,43.2951,5.3861,anonymous,EN,eriphia_laterispinis,genyonemus_evotis,90,80,85,publishable with minor revision.,"The analysis seems sensible, but I should disclose that I am not familiar with the kind of analysis performed by the authors. This is reflected in my review below, which should be taken cautiously.","The statistical model per se (i.e., the binomial regression) seems like a sensible choice, although a discussion of issues related to multiple comparisons or over-fitting is missing. Indeed, the authors included a large number of predictors in the GLM in a theory-blind fashion, and report the significant predictors (i.e., the predictors with a p-value lower than .05). However, even if none of the predictor is truly (i.e., in the population) associated with typicality (the outcome), it is expected that some predictors will get a significant p-value, just because of random sampling. A more appropriate alternative would have been to fit several theoretically-sound models and to compare them (e.g., using information criteria).",This issue has been discussed just above: I am worried that some significant associations may just be false positives.,This issue has been discussed just above: I am worried that some significant associations may just be false positives.,"The likelihood choie seems sensible, but I am worried that some significant associations may just be false positives.",I am not competent to evaluate the pre-processing.,I am not competent to evaluate the pre-processing.,"As mentioned previously, the phonetic analysis seems sensible, but I should disclose that I am not familiar with the kind of analysis performed by the authors. This is reflected in my review below, which should be taken cautiously."
2022-05-02 15:03:55,2022-05-02 15:30:05,IP Address,129.108.202.181,100,1569,True,2022-05-02 15:30:05,R_3BFxxJjSNyrEkEh,,,,,31.7703,-106.3006,anonymous,EN,paralichthys_undulatus,hoplostethus_macrosteus,90,100,95,publishable as is.,"They chose two relevant acoustic measures, they labelled and measured them accurately and presented the results clearly. ","Linear regressions were run on each acoustic measure, after comparing models. This is a sound approach to using this type of analysis. ","The dependent variables were duration and intensity - the only issue here is that the instructions were to only include one in the writeup. The independent variables were typicality, color and observation number. Including color is useful because all of the colors were repeated in each typicality condition. ","They used model comparison based on AIC values and also included participant as a random effect. Also including ""observation"" (i.e., experiment order) as a possible effect is interesting to see if where the utterance came in the experiment may have an effect.","Using a linear regression model for each of the acoustic variables is a valid approach to answer this research question. ","They examined the NF condition, only the adjectives. For the sentences that were marked as errors, the authors only excluded them if they affected the target adjective or noun. They also excluded any tokens whos measurements were excluded any values that were +/- 2 standard deviations from the mean, which is logical. ","The authors note that they ""normalized the duration and the intensity measures"" but they do not provide any detail on how they actually did this. ","This analysis is well done - the only drawbacks being that they reported on two instead of just one, and also that they did not provide any detail on how they normalised duration and intensity. "
2022-05-03 10:24:21,2022-05-03 11:21:33,IP Address,73.14.34.31,100,3431,True,2022-05-03 11:21:34,R_22wUBi7RA0v29tk,,,,,40.0373,-105.279,anonymous,EN,clione_dorsalis,sphyrna_ellioti,40,40,40,publishable with major revision.,"Both the phonetic analysis and the statistical analysis are difficult to interpret. Our main issues were that the effect of typicality is buried in interactions with focus and condition, and the focus of the analysis seems to be on the focus condition rather than the typicality condition; the authors did not make predictions for their models, and it's unclear how to interpret interactions between part of speech and focus condition effects on the prosodic features used as dependent variables. As a more minor issue, using three measures of F0 at different points in a word is also difficult to interpret considering the different word lengths and word structures. ","The liner mixed-effects model is a reasonable approach to this analysis. ","Overall, the choice of variables was sufficient. The independent variables were all necessary, but it is unclear what the predictions are regarding nouns and focus conditions other than adjective focus. The interactions between part of speech, focus condition, and typicality are difficult to interpret and seem to highlight the focus effects rather than the typicality effects. The focus conditions were unbalanced and it's unclear how that affected the results. 
 ","The variables were suitable to include in a model investigating the effect of typicality on prosodic realization.  ","As stated previously, the structure of the model placed the effect of the variable of interest (typicality) inside a two- or three-way interaction and made interpretation difficult. ","The choice to include nouns as well as adjectives was interesting, but the design of the analysis given that the focus conditions weren't balanced across groups made interpretation difficult. ",Log transformation of word duration was appropriate,"We had reservations about interpreting complex interactions in the linear mixed-effects model, especially when those complex interactions included the main variable addressing the research question. The unbalanced nature of the focus condition indicated to us that the experiment was designed to test the adjective-focused condition, and we're not clear whether using an unbalanced data set had an effect on the model results.  We question the validity of the interpretation of the results using data from multiple conditions that was collected during an experiment designed to investigate a specific condition. "
2022-05-04 11:59:59,2022-05-04 12:35:37,IP Address,96.242.236.104,100,2138,True,2022-05-04 12:35:38,R_3HRcUfJLljgU9Lu,,,,,40.5921,-74.6238,anonymous,EN,procambarus_mahogoni,pervagor_meeki,80,80,80,publishable with minor revision.,"We question the decision to slow down the one speaker's rate of speech and wonder what the criteria was that went behind that decision. Specifically, why it was slowed down by a factor of 1.5",We agree that a series of linear mixed effects models are a good choice for this data set.,"The variables (duration, pitch, intensity) answer the question that was posed in the project. ","We question the use of duration of the whole word, especially in the nouns, as the nouns used are not present in every typicality condition, and are very different in length. Additionally, typicality was used as a categorical variable instead of a continuous one, which might have yielded different results.",The structure of the model is suitable for the data set. The authors are aware of their analyses's limitations with regard to including word as a random effect.,"The authors marked sentences for speech error and noise or hesitation and excluded them from the analysis. We wonder why the ""fast speaker"" was slowed down instead of just excluded as other data were.","As mentioned above, we would like a more detailed reasoning or criteria for slowing down the rate of one of the speakers by a factor of 1.5. ",N/A
2022-05-04 22:10:07,2022-05-04 22:29:53,IP Address,115.128.19.253,100,1185,True,2022-05-04 22:29:54,R_bIqRDALh5Lpt8Zj,,,,,-33.8715,151.2006,anonymous,EN,dunkleosteus_inscriptus,pervagor_adscensionis,75,60,68,publishable with major revision.,"It is not clear how the final models were chosen, other than for reasons involving convergence issues with more elaborated models. The analysis of adjectives, but not nouns or noun phrases is not motivated.","Linear Mixed Effects models are suitable, but Bayesian Mixed Models might have been more informative and a more appropriate approach, given the exploratory nature of the analysis. In particular, since the team state at the outset that ""we had no strong hypothesis about the results we expected to find"", and since no hypotheses are developed over the course of the analysis, the choice of NHST does not seem to be well-motivated.",The reasons for the choice of variables in the final model are not clearly explained. The main factor informing model structuring and refinement appears to data sparsity and model convergence issues. This would be OK if more information had been provided to motivate the random variables selected in the final model.,"The main effects of typicality and the choice of continuous variables are well chosen and clearly motivated, but it is not clear why random intercepts are included only for adjectives.","It is not actually clear which final model was used: 'MFCC_all' is reported as having good residuals in 'stats.R', but earlier, the model is defined as follows:
MFCC_all = lmer(mfcc_dist ~ typ_diff + (1|adjA) + (1|subjA) + (1|noun_pair), all) # singular fit if 1|noun_pair is included

... so what was the final model run for the analysis? Presumably, the formula was modified to drop the final random effect, but the analysis is not reproducible from the scripts provided.",It appears that all numbered trials in the dataset provided were included in this analysis.,"The use of MFCCs, GMMs, and z-scored KL-divergences is insightful; these are well-established methods of data parameterization for speaker ID analysis and utterance comparisons of this type. This team have extensive experience in the application of these methods, and the data processing transformation and analysis are appropriate to the dataset and research question.","This team have used a novel approach to examine differences between utterances, and the application of methods more commonly used in forensic analysis and speaker recognition potentially offers important insights into the phonetic properties of the dataset. Unfortunately, it is difficult to interpret this approach because the tools are not deployed in service of a hypothesis, and the discussion is not sufficiently detailed to explain exactly what was found and what it might mean. In particular, the sub-division of the utterance, and the choice of models and how they related to these sub-intervals is not explained. For example, why are the MFCCs of adjectives produced in different typicality conditions examined, but not the entire target NP, the noun itself, or other constituents associated with the referent? The division of utterances into ‘carrier-pre’, ‘article’, ‘noun’, ‘adjective’, and ‘carrier-post’ seems like a good approach, but then it is not clear how the interval of interest (between ‘carrier-pre’ and ‘carrier-post’) is analyzed and modeled, other than the adjective. From the script 'stats.R', it appears that convergence issues are the main reason the linear models didn't include the noun, but if so, why include random intercepts only for the adjective rather than the actual target noun? Is this purely a model fit/data sparsity issue, or is there a motivation for including random effects of adjective, but not nouns? What about the determiner, and the whole DP/NP?

Another issue not explained is how timing differences were dealt with in this analysis: are duration differences captured/bypassed by the Gaussians/MFCCs, or were the data time-normalized, or were temporal differences disregarded? Presumably the Kullback-Leibler metrics were used to compare utterances differing in the number of frames/dimensionality of the vectors, but how does this affect the quantified divergence, or doesn't this matter for this analysis? Figures illustrating the intervals of analysis would help to explain these issues, as would a more detailed report and more complete documentation of the statistical modelling used.

Materials on OSF repository should be anonymized if blind review was required, but scripts and code have all been signed by this team."
2022-05-05 02:15:31,2022-05-05 02:20:44,IP Address,195.221.243.131,100,313,True,2022-05-05 02:20:45,R_339yMtEwTp2YAyR,,,,,48.0014,0.1901,anonymous,EN,ceratophrys_elephantotus,trachyphyllia_lappa,95,100,97,publishable as is.,"Solid methods, even if manual corrections of the TG are not easily replicable.","Linear mixed effects models that were put into competition against each other. ","Well chosen and explained in a clear matter. ","Very good. ","Very good. ","Well documented and argued. Exclusions were based on the annotators experience of the data sets. ","No data transformation. ",
