StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q5_2,Q5_3,Q5_4,Q6,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Your team name (i.e., the fantasy animal)",The team name (fantasy animal) for the analysis you are reviewing.,"Please rate the following aspects of the study under review with regard to how well they answer the research question (""Do speakers acoustically modify utterances to signal atypical word combinations in referring expressions?"") with the available data. - Rate the phonetic analysis","Please rate the following aspects of the study under review with regard to how well they answer the research question (""Do speakers acoustically modify utterances to signal atypical word combinations in referring expressions?"") with the available data. - Rate the statistical analysis","Please rate the following aspects of the study under review with regard to how well they answer the research question (""Do speakers acoustically modify utterances to signal atypical word combinations in referring expressions?"") with the available data. - Provide an overall rating",Would the analytical methods presented produce an analysis that is:,Please explain your ratings of this analysis.,Please evaluate the choice of statistical analysis type.,Please evaluate the process of choosing variables for and structuring the statistical model.,Please evaluate the suitability of the variables included in (or excluded from) the statistical model.,Please evaluate the suitability of the structure of the statistical model.,Please evaluate choices to exclude or not exclude subsets of the data.,"Please evaluate any choices to transform data (or, if there were no transformations, but you think there should have been, please discuss that choice).",Please use this space for any additional comment you may have at this stage.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}"
2022-04-21 11:15:27,2022-04-21 11:31:29,IP Address,128.189.135.43,100,961,True,2022-04-21 11:31:30,R_3dYNhYGufMdfKUS,,,,,49.245,-123.1337,anonymous,EN,cromileptes_saxatilis,eosipterus_pytyopsittacus,55,30,20,publishable with major revision.,"I'd like to preface this by saying that overall, the analysis looks competently done, and clearly a lot of work has gone into it. I gave low ratings for the following reasons: (i) no scripts or other materials were shared, which compromises the replicability of the analysis; (ii) many analysis details are not reported transparently, and may only be replicable to those who are intimately familiar with the methods employed by the authors (and perhaps not even by those, given the lack of details); (iii) the project does not answer the MSA research question, which is clearly highlighted on the website, i.e. ""Your task will be to investigate whether typicality affects the phonetics of the utterances."". I gave the phonetic analysis a higher rating mainly to reflect the fact that what was done seems to be competently carried out, though it is very difficult to evaluate given the lack of details / scripts. I gave the statistical analysis a lower rating since – while clustering and random forests are great exploratory techniques – it did not address the main research question in any form. The overall score is the lowest as this project does not speak to the research question in any substantive way.","K-means clustering and random forests are great exploratory techniques, but they are not suitable for hypothesis testing. Although the research question here could probably be couched in exploratory terms, these techniques do not produce the kind of estimates (e.g. effect sizes, confidence intervals, etc.) that can easily be compared across analyses.","This process seemed largely appropriate, though it's not clear to me why the random forest was refitted with a smaller set of variables – isn't it clear from the full model that certain variables contribute less to the results than others?",The variables seem appropriate for (i) clustering accent types and (ii) predicting focus type – but not for answering the main research question.,"Both the K-means clustering and random forest models look OK, though, importantly, the models ignore dependencies within speakers and items, which is an issue here.",The exclusions reported in the survey responses seem reasonable & theoretically motivated.,"There were various derived measures that went into the models fitted by the authors, but there was not transformation per se. The calculation of these derived measures seemed fine, though it was hard to evaluate this process given the lack of details.",
2022-04-22 11:15:03,2022-04-22 11:24:08,IP Address,128.187.116.12,100,545,True,2022-04-22 11:24:09,R_2VNMgBcGq6LjaNC,,,,,40.2584,-111.6591,anonymous,EN,trapezia_cantonensis,comanthina_maculatus,95,90,92,publishable with major revision.,"The phonetic analysis seemed straightforward. Perhaps Praat is known to be not the best tool for F0 though and there didn't appear to be any sort of data verification/checking, etc. ","I appreciate that the author was aware of the assumptions of an ANOVA and chose to run non-parametric tests instead. However, as far as I know, a two-tailed unpaired t-test is parametric. ","Variable selection seemed fine, although there wasn't much discussion of what independent variables were included in the model. A more robust analysis would have perhaps logged the durations and added speaker and/or word as random effects. ","The dependent variables make sense. The independent variables could have been augmented with word and speaker as random effects. ","Again, a more robust analysis would have added speaker and/or word as random effects. ","There didn't appear to be any discussion of exclusions. ",A more robust analysis would have perhaps logged the durations.,
2022-04-22 12:43:30,2022-04-22 13:10:39,IP Address,71.178.216.156,100,1628,True,2022-04-22 13:10:40,R_2afzkhSr3wjNhz9,,,,,38.9208,-77.036,anonymous,EN,eosipterus_pytyopsittacus,psittacula_scabriculus,50,50,50,publishable with major revision.,,,,,,,,
2022-04-25 00:48:19,2022-04-25 00:50:12,IP Address,83.135.242.78,100,113,True,2022-04-25 00:50:13,R_2EmXjznKVeuNTRt,,,,,50.973,7.1754,anonymous,EN,petauroides_fistulator,polymetme_brevirostrum,90,70,80,publishable as is.,"We find that concerning the phonetic analysis and the resulting F0 values, one is commonly well-advised to use semitones instead of Hz values. However, this is the only minor comment we have on the phonetic analysis part.
Concerning the statistical analysis, we have little experience with running Bayesian models ourselves. However, having a look at relevant literature we find that the statistical analysis appears to be conducted in a meaningful manner without any issues that come to our (laypersons’) minds. Concerning the linear-mixed effects regression, we find that using rather complex effect structures as done in the present case, one should not neglect potential issues of collinearity. The authors of the present analysis do not check for such issues (or they do not mention doing so). As collinearity can lead to several problems regarding the model estimates, we find this point worth mentioning. 
The overall rating is the mean of both other ratings.","As mentioned above, we cannot speak in detail towards the Bayesian statistics part. However, regarding the mixed-effects regression part, we find no issue with the choice of model. Whether one applies such regression in a frequentist or Bayesian framework is a ‘matter of faith’, we believe. Thus, we have no negative points to raise. ","Using pitch range as dependent variable is motivated by other research; in fact, we used a rather similar approach to the question in our own analysis. 
The choice of independent variables is very straightforward; Condition, Typicality, and Category are meaningful predictors to answer the research question. However, the team does not provide a rational for their choice, i.e. they choice is not motivated by previous research or theoretical approaches.
The operationalising of all variables appears to be sophisticated as well. Using treatment coding for Condition and custom contrasts for Typicality seems reasonable to us. Fitting a maximal model to begin the modelling process with is one of the two prominent model building approaches (top-down/backwards vs. bottom-up/forwards) and aligns with our choice as well. Using rather elaborate random effect structures to begin modelling with, the present analysis tries to account for all potential inter-variable influences.","We find Condition, Typicality, and Category to be meaningful predictors to answer the present research question as these variables are directly related to the target items.","We find the structure of the linear mixed-effects regression model to be suitable for answering the present research question. Citing from Q11: Fitting a maximal model to begin the modelling process with is one of the two prominent model building approaches (top-down/backwards vs. bottom-up/forwards) and aligns with our choice as well. Using rather elaborate random effect structures to begin with, the present analysis tries to account for all potential inter-variable influences.","Excluding any observations that had comments in the “Notes” tier of the TextGrids is a reasonable choice. If such observations were without any issues to begin with, there would be no comments.","As mentioned in Q9, we assume that working with semitones instead of Hz is the better operationalisation for working with pitch data. Thus, we would have liked this team to work with semitones as dependent variable instead of Hz values.","We would like to stress again that, regarding the Bayesian part of the statistical analysis, we are laypersons. One group member has basic theoretical knowledge of Bayesian statistics from a linguistics perspective, another member as theoretical knowledge of Bayesian statistics from a mathematical perspective. However, no group member has ever worked with Bayesian methods from a practical point of view."
2022-04-25 02:57:44,2022-04-25 03:04:21,IP Address,91.169.106.116,100,397,True,2022-04-25 03:04:22,R_1HpM1jWH7K4mC7b,,,,,48.8138,2.3873,anonymous,EN,linckia_nattereri,gnathosaurus_canadensis,20,1,10,deeply flawed and unpublishable.,"I am not convinced of the approach to analysing the data and there are serious issues in the statistical approach. The author computed the average f0 per syllable in the adjective and the noun and computed the difference. This is fine by me at this stage. However, the computed mean difference was then transformed to be in an absolute value; this is a serious issue (see below) as the assumption then is that there will always be the “same” direction of difference; that the noun will always have a higher f0 than the adjective. 
Then, the median was chosen as a dependent variable, but this was computed based on the three mean values of f0 per participant and typicality. The SD is obtained, but no mention as to how this was computed. Why haven’t the author obtained the medial and SD of each syllable? The statistical approach used the “friedman test” which is a non-parametric alternative to an ANOVA with repeated measures. However, they had to obtain one observation per participant and typicality for the test to run, which is already an issue as within speaker variation is lost! ","This is motivated by the researcher to fit the data, but choosing this test restricts the author(s) in how they dealt with the data. The median used here is the median of the three repetitions per participant in a one of the three typicality contexts, rather than being the actual median for each syllable. I don’t believe this is the right tool, even if well-motivated. No pairwise comparison was proposed (you can use either a “wilcox test” or a “sign test” to do the pairwise comparison with corrections for multiple comparisons! Also, you have used R to compute your statistical analyses; Rstudio is an integrated development environment (IDE) for R (and Python, etc..). Make sure to cite the R version and the version of the package(s) used.","This is misleading as not described properly in the text. The difference in mean between the syllables in adjective and noun is computed initially correctly, but then for some reason, the author(s) decided to compute the absolute difference removing the sign; the sign is important here as this should correlate with differences in typicality (see dataset “MSA_extracteddata.xlsx” for original data). Then they used the median, which was obtained as the median of the three repetitions per typicality per speaker; this should have been obtained directly from the speech samples. 
We are told that the data from two speakers were considered as outliers and these were removed. It is not clear if there were already errors in data extraction that led to this. The analysis was done with and without these two speakers and the reported results 
","Variables included are not appropriate at all as the sign of the difference is lost; this needs to be retained. A clear justification for why only the mean value was obtained in the first instance is needed. 
The data from two participants were removed, with no clear justifications. You should have kept these. The author(s) decided to remove the data labelled with “errors”, which should be fine, though not clear at this stage why these were judged initially as “errors”
","Not entirely appropriate. There is no clear structure. I would have liked to see the following order:
1)	Data summary and description of the dataset
2)	Data visualisation to evaluate the patterns (simple box plots, or any other type of visualisation)
3)	Statistical modelling. 
a.	The author explains that the data are non-normally distributed; where are the analyses for that? 
b.	Normally, with this type of data, it is expected to have deviations from normality, and we are concerned with the normality of distribution for the residuals; were there any checks after the data analyses?
c.	Because you have three dependent variables, look at whether there are clear differences emerging from the three.
d.	Run a pairwise comparison
","The data from two speakers were excluded (though the results were presented with and without). The data were removed due to them being outliers; not clear if the author(s) chose a specific threshold (2.5 above/below the mean?). ","The author(s) use semitones instead of Hertz, which is fine. 
They did not use any specific transformations of the dependent variable, although they decided to compute the absolute difference rather than the true difference. This shouldn’t be done.
","Make sure your R script has all the steps of data analyses, e.g., importing the data set, visualisation (if any) method used to check outliers, etc..
I only spotted the error of using the absolute mean difference by opening the second excel sheet. When running the statistical analyses on the median based on the original mean differences, there are clear differences emerging in the data. 
Friedman rank sum test

data:  test$median, test$typicality and test$speaker
Friedman chi-squared = 9.2667, df = 2, p-value = 0.009722
I still do not believe that the test used here is appropriate (run linear mixed effects modelling and check the residuals or a Bayesian approach).
"
2022-04-25 04:14:17,2022-04-25 04:45:50,IP Address,141.201.219.162,100,1893,True,2022-04-25 04:45:51,R_31bdgtoomOtHQqt,,,,,47.8008,13.0443,anonymous,EN,anomalocaris_ornata,trapezia_cantonensis,86,86,86,publishable with minor revision.,"We really enjoyed reading this analysis, it was very well presented and the graphics were very clear and informative. We believe there are only some minor issues in the report.

There are some confusing typos in the report, for example, the introduction talks about three measurements, 1.1 talks about 4. Under 3.4 non-food treatments are significantly longer than non-food treatments? In places, information is missing for example on how vowel formants were normalised. ","GAMMs are appropriate for the dynamic F0 and intensity data. Likewise, the mixed model is appropriate for the static vowel duration data.",The process seems fine and to make sense with what is in the published literature.,"It is unclear why only the adjective was chosen for analysis over other possible variables such as the noun. It is also not completely clear what typicality measure was used in the models. ",The process seems fine and to make sense with what is in the published literature.,"The author focuses exclusively on the adjective of the NP. Considering the noun is in focus position, it would make sense to explore the adjective and noun in tandem. Any increases in intensity, F0, etc. could in principle be accompanied by a similar increase in the noun – or not. Looking at adjective and nouns gives us a fuller picture of what is happening. 

The author focuses exclusively on the stressed vowel. While other options are possible, this strikes us as a justified choice as any typicality-based modulation should be captured by looking at the vowel only.
","F0 data are notoriously often non-normal, it would be good to have an idea of what the distribution looked like. The author is not terribly specific about how normal these data were. It is also unclear how higher and lower voice types (which might differ significantly between speakers) was considered in the analysis.",Thanks for an interesting read!
2022-04-25 06:05:43,2022-04-25 06:12:09,IP Address,91.169.106.116,100,386,True,2022-04-25 06:12:10,R_2B8WgXMbPdw8ncI,,,,,48.8138,2.3873,anonymous,EN,linckia_nattereri,gnathosaurus_canadensis,20,1,10,deeply flawed and unpublishable.,"We are not convinced of the approach to analysing the data and there are serious issues in the statistical approach. The author computed the average f0 per syllable in the adjective and the noun and computed the difference. This is fine at this stage. However, the computed mean difference was then transformed to be in an absolute value; this is a serious issue (see below) as the assumption then is that there will always be the “same” direction of difference; that the noun will always have a higher f0 than the adjective. 
Then, the median was chosen as a dependent variable, but this was computed based on the three mean values of f0 per participant and typicality. The SD is obtained, but no mention as to how this was computed. Why haven’t the author(s) compute the median and SD for each syllable directly from within Praat? The statistical approach used the “friedman test” which is a non-parametric alternative to an ANOVA with repeated measures. However, they had to obtain one observation per participant and typicality for the test to run; they don't make the most of the available variability which, in turn, might lead to oversimplified conclusions.
","This is motivated by the researcher to fit the data, but choosing this test restricts the author(s) in how they dealt with the data. The median used here is the median of the three repetitions per participant in a one of the three typicality contexts, rather than being the actual median for each syllable. We don’t believe this is the right tool, even if well-motivated. No pairwise comparison was proposed (the author(s) can use either a “wilcox test” or a “sign test” to do the pairwise comparison with corrections for multiple comparisons). In addition, you have used R to compute your statistical analyses; Rstudio is an integrated development environment (IDE) for R (and Python, etc..). Make sure to cite the R version and the version of the package(s) used.","This is misleading as not described properly in the text. The difference in mean between the syllables in adjective and noun is computed initially correctly, but then for some reason, the author(s) decided to compute the absolute difference removing the sign; the sign is important here as this should correlate with differences in typicality (see dataset “MSA_extracteddata.xlsx” for original data). Then they used the median, which was obtained as the median of the three repetitions per typicality per speaker; this should have been obtained directly from the speech samples. 
We are told that the data from two speakers were considered as outliers and these were removed. It is not clear if there were already errors in data extraction that led to this. The analysis was done with and without these two speakers and the results were reported with and without these two speakers.","Variables included are not appropriate at all as the sign of the difference is lost; this needs to be retained. A clear justification for why only the mean value was obtained in the first instance is needed. 
The data from two participants were removed, with no clear justifications. You should have kept these. The author(s) decided to remove the data labelled with “errors”, which should be fine, though not clear at this stage why these were judged initially as “errors”","Not entirely appropriate. There is no clear structure. I would have liked to see the following order:
1)	Full data wrangling in the main R script: add details of how the median was computed.
2)	Data summary and description of the dataset
3)	Data visualisation to evaluate the patterns (simple box plots, or any other type of visualisation)
4)	Statistical modelling. 
a.	The author explains that the data are non-normally distributed; where are the analyses for that? 
b.	Normally, with this type of data, it is expected to have deviations from normality, and we are concerned with the normality of distribution for the residuals; were there any checks after the data analyses?
c.	Because you have three dependent variables, look at whether there are clear differences emerging from the three.
d.	Run a pairwise comparison
","The data from two speakers were excluded (though the results were presented with and without). The data were removed due to them being outliers; not clear if the author(s) chose a specific threshold (2.5 above/below the mean?). ","The author(s) use semitones instead of Hertz, which is fine. 
They did not use any specific transformations of the dependent variable, although they decided to compute the absolute difference rather than the true difference. This shouldn’t be done.
","Make sure your R script has all the steps of data analyses, e.g., importing the data set, visualisation (if any) method used to check outliers, etc..
We only spotted the error of using the absolute mean difference by opening the second excel sheet. When running the statistical analyses on the median based on the original mean differences, there are clear differences emerging in the data. 
Friedman rank sum test
data:  test$median, test$typicality and test$speaker
Friedman chi-squared = 9.2667, df = 2, p-value = 0.009722
However, we still do not believe that the test used is appropriate (run linear mixed effects modelling and check the residuals or a Bayesian approach).
"
2022-04-25 07:19:30,2022-04-25 07:21:48,IP Address,128.91.19.21,100,138,True,2022-04-25 07:21:48,R_2wNaoi7Cuoh8JSr,,,,,39.9597,-75.1995,anonymous,EN,eosipterus_pytyopsittacus,psittacula_scabriculus,50,50,50,publishable with major revision.,"We have a few major concerns with both the phonetic and statistical analysis presented here. On the phonetic side, the main issues are with the fact that the vowels were hand-measured, and given that the analysis relies on precise measurements of duration. The authors should’ve used one of the many available forced aligners to have a consistent method for measuring duration. Additionally, the fact that they took an average of all vowels in each word does not account for the fact that the data included tokens of varying syllable length, which could impact their results (and no hypothesis was given to justify this measure of length effects). Finally, they did not differentiate between stressed and unstressed vowels, which naturally have different durations and could significantly impact their results, given the aforementioned differences in number of syllables between target words. 
","On the statistical side, see below for more details, but the chief concern is that vowel duration should have been normalized in some way, and they should have accounted for vowel stress. The model is simple and straightforward and is logical given the data structure, but it does not include all necessary variables, and is based on flawed data. ","The process for choosing the variable of vowel duration seemed appropriate. One limitation is that the team used default priors from bmrs, which may be suitable but they should’ve motivated this choice and also discussed it as a possible limitation. ","While the choice of duration is appropriate, it does seem that the values of the variables should have differed, however, in at least two ways. Vowel duration should be normalized (to control for effects of variable speech rate). Also, the vowel duration should not have been an average, for one of at least two reasons. As a first possibility: If the stressed vowel is changing in duration differently than other vowels (e.g., possibly as the only vowel changing in duration), then using an average of all vowels will lead to different effect sizes in words with different numbers of syllables (because the effect of change in a stressed vowel will be less in a 4 syllable word than in a 2 syllable word). As a second possibility: since stressed and unstressed vowels naturally have different durations, differential proportions of stressed-to-unstressed vowels could significantly impact their results.","The model structure is suitable, and we appreciate the authors’ attempts to use Bayesian models.","The only data excluded was from speech errors (as determined by the researchers) and vowels that they claim were “unrealized”. This is fine, but more detail about what counted as “unrealized” would have been helpful. ","The vowel durations should have been normalized, so as to make comparisons across individuals / contexts (because of what’s known about speech rate variability).","As a minor detail: the .xlsx file is included, but not the .csv file that the .Rmd alludes to.

As a more important detail: the .docx writeup alludes to the mean vowel duration for the atypicality condition as either .08 (in table 1) or as .09 (in the prose). After running the included R file, it seems the prose is correct.

Finally, because there were the earlier-mentioned methodological problems, and because the results go in the opposite direction of expectation (no hypothesis we can think of would expect medium typicality to have the shortest duration; the null hypothesis should be atypical > medium > typical), the model (and especially the data-prep for the model) ought to be given much more scrutiny (in ways described above).
"
